Kód;Obec;Voliči;Obálky;Platné hlasy;1;2;3;4;44;5;6;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
590011;Slatinky;0;0;0;453;0;0;0;0;0;0;27,79;0,00;0,00;0,00;0,00;9,58;8,62;0,00;10,22;0,00;0,00;0,31;0,00;0,00;0,00;5,11;0,00;0,63;2,23;9,26;7,34;14,05;4,79;0,00;0,00
590029;Smržice;0;0;0;1319;0;0;0;0;0;0;33,46;0,00;0,00;0,00;0,38;5,72;8,65;0,25;11,70;0,76;0,89;0,00;0,00;0,50;0,12;2,54;0,12;0,25;0,50;13,61;4,07;8,39;7,88;0,12;0,00
590045;Srbce;0;0;0;73;0;0;0;0;0;0;17,94;0,00;0,00;0,00;0,00;28,20;0,00;0,00;5,12;0,00;0,00;0,00;0,00;0,00;0,00;15,38;0,00;7,69;0,00;20,51;2,56;0,00;2,56;0,00;0,00
590053;Stařechovice;0;0;0;0;447;0;0;0;0;0;29,49;0,00;0,00;0,00;0,35;10,79;4,67;0,00;8,27;0,35;0,35;0,00;0,00;0,35;1,07;6,11;0,00;2,15;0,35;18,70;3,23;3,95;9,35;0,00;0,35
590061;Stínava;0;0;0;126;0;0;0;0;0;0;15,06;0,00;0,00;0,00;0,00;9,58;30,13;0,00;4,10;0,00;0,00;0,00;1,36;0,00;0,00;1,36;0,00;0,00;0,00;17,80;4,10;6,84;9,58;0,00;0,00
590070;Stražisko;0;0;0;345;0;0;0;0;0;0;37,72;0,00;0,00;0,00;0,00;11,36;13,63;0,00;1,36;0,00;0,45;0,00;0,00;0,00;0,00;1,81;0,00;0,90;0,45;15,45;0,90;6,36;9,09;0,00;0,45
590088;Suchdol;0;0;0;0;0;499;0;0;0;0;19,94;0,00;0,00;0,00;0,28;7,02;28,08;0,00;5,05;0,28;0,28;0,56;0,28;0,84;0,00;3,37;0,00;0,84;0,84;10,67;1,12;8,70;11,51;0,28;0,00
590096;Šubířov;0;0;0;204;0;0;0;0;0;0;33,94;0,00;0,00;0,00;0,00;12,84;6,42;0,91;5,50;0,00;0,91;0,00;0,00;0,00;0,00;5,50;0,00;0,91;1,83;10,09;1,83;11,00;8,25;0,00;0,00
590100;Tištín;0;0;0;393;0;0;0;0;0;0;29,30;0,93;0,00;0,00;0,46;6,97;6,51;0,00;2,79;0,46;0,00;0,00;0,00;0,00;0,00;7,90;0,93;1,86;2,32;20,00;1,39;2,79;14,88;0,00;0,46
590118;Tvorovice;0;0;0;252;0;0;0;0;0;0;25,00;0,00;0,00;0,00;1,97;14,47;11,84;0,00;5,92;0,65;0,65;0,00;0,00;0,00;0,00;9,21;1,97;0,00;0,65;15,78;0,65;5,26;5,92;0,00;0,00
590126;Určice;0;0;0;0;1101;0;0;0;0;0;25,85;0,00;0,81;0,16;0,65;11,29;5,72;0,16;11,12;0,98;0,81;0,16;0,00;0,00;0,00;4,74;0,81;1,80;2,94;18,00;1,96;6,21;5,72;0,00;0,00
